mag_id	species	superkingdom	phylum	class	data_type	source	access	note
NC_009135	NC_009135	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_007426	NC_007426	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_002516	NC_002516	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_009376	NC_009376	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
CP000680	CP000680	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
CP000820	CP000820	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
CP069362	CP069362	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_011726	NC_011726	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
CP069353	CP069353	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
CP069361	CP069361	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_009718	NC_009718	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_002978	NC_002978	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_011766	NC_011766	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_002754	NC_002754	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_000854	NC_000854	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_006396	NC_006396	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_000913	NC_000913	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_000909	NC_000909	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
CP069367	CP069367	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
CP063944	CP063944	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_001137	NC_001137	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_001136	NC_001136	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_000916	NC_000916	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_000964	NC_000964	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
CP069365	CP069365	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
CP069363	CP069363	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
NC_003552	NC_003552	Eukaryota	Unknown		unsupervised	Ensembl/Other	Unknown	Named organism, source unclear
