accession	species	superkingdom	phylum	class	order	family	genus	data_type
GCF_002897315.1_ASM289731v1_genomic	Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised
Faecalibacterium_prausnitzii_firmicutes_GCF_050502955.1	Faecalibacterium prausnitzii		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	supervised
Dyella_sp._20L07_g-proteobacteria_GCF_050507135.1	Dyella sp. 20L07		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Dyella	supervised
Micromonospora_trifolii_high_G+C_Gram-positive_bacteria_GCA_050516465.1	Micromonospora trifolii		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	supervised
Winogradskyella_ouciana_CFB_group_bacteria_GCF_965284585.1	Winogradskyella ouciana		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	supervised
Serratia_sarumanii_enterobacteria_GCF_050500065.1	Serratia sarumanii		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	supervised
Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408115.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised
Phenylobacterium_sp._a-proteobacteria_GCF_965284355.1	Phenylobacterium sp.		Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	supervised
Microcystis_aeruginosa_FBCC-A68_cyanobacteria_GCF_050500255.1	Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised
Beijerinckiaceae_bacterium_a-proteobacteria_GCA_965284415.1	Beijerinckiaceae bacterium		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae		supervised
Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408065.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised
Pseudomonas_aeruginosa_g-proteobacteria_GCA_047714025.2	Pseudomonas aeruginosa		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised
Escherichia_coli_E._coli_GCA_050516375.1	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised
Levilactobacillus_brevis_firmicutes_GCF_050410815.1	Levilactobacillus brevis		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	supervised
Klebsiella_pneumoniae_enterobacteria_GCA_047714065.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Acinetobacter_baumannii_g-proteobacteria_GCF_047227755.2	Acinetobacter baumannii		Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	supervised
Streptomyces_sp._cg35_high_G+C_Gram-positive_bacteria_GCF_050410835.1	Streptomyces sp. cg35		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised
Fluviicola_sp._CFB_group_bacteria_GCF_965284695.1	Fluviicola sp.		Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	supervised
Escherichia_coli_E._coli_GCA_047865805.2	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised
Paraburkholderia_tropica_b-proteobacteria_GCF_050500075.1	Paraburkholderia tropica		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	supervised
Lactococcus_lactis_firmicutes_GCF_050368845.1	Lactococcus lactis		Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	supervised
Paenibacillus_ottowii_firmicutes_GCA_050516475.1	Paenibacillus ottowii		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	supervised
Myroides_odoratimimus_CFB_group_bacteria_GCA_050517405.1	Myroides odoratimimus		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	supervised
Janibacter_sp._G349_high_G+C_Gram-positive_bacteria_GCF_050507325.1	Janibacter sp. G349		Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Janibacter	supervised
Bibersteinia_trehalosi_g-proteobacteria_GCF_050500365.1	Bibersteinia trehalosi		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Bibersteinia	supervised
Fructilactobacillus_sp._Tb1_firmicutes_GCF_050500285.1	Fructilactobacillus sp. Tb1		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	supervised
Pasteurella_multocida_g-proteobacteria_GCA_050500375.1	Pasteurella multocida		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	supervised
GCF_000165365.1_ASM16536v1_genomic	Theileria parva		Apicomplexa	Aconoidasida	Piroplasmida	Theileriidae	Theileria	supervised
Providencia_huaxiensis_enterobacteria_GCF_050507125.1	Providencia huaxiensis		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	supervised
Pseudomonas_piscis_g-proteobacteria_GCF_050507335.1	Pseudomonas piscis		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised
Micromonospora_sp._JCM_30529_high_G+C_Gram-positive_bacteria_GCF_050410825.1	Micromonospora sp. JCM 30529		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	supervised
Thalassospira_lucentensis_a-proteobacteria_GCF_965284575.1	Thalassospira lucentensis		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	supervised
Klebsiella_pneumoniae_enterobacteria_GCF_050506515.1	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised
Burkholderia_pseudomallei_b-proteobacteria_GCA_965283335.1	Burkholderia pseudomallei		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	supervised
Mannheimia_haemolytica_g-proteobacteria_GCA_050500355.1	Mannheimia haemolytica		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	supervised
Streptococcus_salivarius_firmicutes_GCF_018599045.2	Streptococcus salivarius		Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	supervised
Paraclostridium_tenue_firmicutes_GCA_050410845.1	Paraclostridium tenue		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	supervised
Parasphingorhabdus_sp._a-proteobacteria_GCF_965284465.1	Parasphingorhabdus sp.		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	Parasphingorhabdus	supervised
Flavobacterium_sp._CFB_group_bacteria_GCA_965284545.1	Flavobacterium sp.		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	supervised
Limisphaerales_bacterium_verrucomicrobia_GCA_965284395.1	Limisphaerales bacterium		Verrucomicrobiota	Verrucomicrobiia	Limisphaerales			supervised
Acidithiobacillus_ferrooxidans_proteobacteria_GCF_050410805.1	Acidithiobacillus ferrooxidans		Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	supervised
Parelusimicrobium_proximum_bacteria_GCF_050389785.1	Parelusimicrobium proximum		Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Parelusimicrobium	supervised
Candidatus_Methylopumilus_planktonicus_b-proteobacteria_GCF_965282835.1	Candidatus Methylopumilus planktonicus		Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Candidatus Methylopumilus	supervised
Comamonas_sediminis_b-proteobacteria_GCF_050499165.1	Comamonas sediminis		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	supervised
