accession	accession_full	species	superkingdom	phylum	class	order	family	genus	data_type	source
GCF_002897315.1	GCF_002897315.1_ASM289731v1_genomic	Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCF_050502955.1	Faecalibacterium_prausnitzii_firmicutes_GCF_050502955.1	Faecalibacterium prausnitzii		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	supervised	NCBI_RefSeq
GCF_050507135.1	Dyella_sp._20L07_g-proteobacteria_GCF_050507135.1	Dyella sp. 20L07		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Dyella	supervised	NCBI_RefSeq
GCA_050516465.1	Micromonospora_trifolii_high_G+C_Gram-positive_bacteria_GCA_050516465.1	Micromonospora trifolii		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	supervised	NCBI_GenBank
GCF_965284585.1	Winogradskyella_ouciana_CFB_group_bacteria_GCF_965284585.1	Winogradskyella ouciana		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	supervised	NCBI_RefSeq
GCF_050500065.1	Serratia_sarumanii_enterobacteria_GCF_050500065.1	Serratia sarumanii		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	supervised	NCBI_RefSeq
GCF_050408115.1	Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408115.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised	NCBI_RefSeq
GCF_965284355.1	Phenylobacterium_sp._a-proteobacteria_GCF_965284355.1	Phenylobacterium sp.		Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	supervised	NCBI_RefSeq
GCF_050500255.1	Microcystis_aeruginosa_FBCC-A68_cyanobacteria_GCF_050500255.1	Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	supervised	NCBI_RefSeq
GCA_965284415.1	Beijerinckiaceae_bacterium_a-proteobacteria_GCA_965284415.1	Beijerinckiaceae bacterium		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae		supervised	NCBI_GenBank
GCF_050408065.1	Xanthomonas_oryzae_pv._oryzicola_g-proteobacteria_GCF_050408065.1	Xanthomonas oryzae		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	supervised	NCBI_RefSeq
GCA_047714025.2	Pseudomonas_aeruginosa_g-proteobacteria_GCA_047714025.2	Pseudomonas aeruginosa		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	supervised	NCBI_GenBank
GCA_050516375.1	Escherichia_coli_E._coli_GCA_050516375.1	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised	NCBI_GenBank
GCF_050410815.1	Levilactobacillus_brevis_firmicutes_GCF_050410815.1	Levilactobacillus brevis		Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	supervised	NCBI_RefSeq
GCA_047714065.2	Klebsiella_pneumoniae_enterobacteria_GCA_047714065.2	Klebsiella pneumoniae		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	supervised	NCBI_GenBank
GCF_047227755.2	Acinetobacter_baumannii_g-proteobacteria_GCF_047227755.2	Acinetobacter baumannii		Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	supervised	NCBI_RefSeq
GCF_050410835.1	Streptomyces_sp._cg35_high_G+C_Gram-positive_bacteria_GCF_050410835.1	Streptomyces sp. cg35		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	supervised	NCBI_RefSeq
GCF_965284695.1	Fluviicola_sp._CFB_group_bacteria_GCF_965284695.1	Fluviicola sp.		Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	supervised	NCBI_RefSeq
GCA_047865805.2	Escherichia_coli_E._coli_GCA_047865805.2	Escherichia coli		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	supervised	NCBI_GenBank
GCF_050500075.1	Paraburkholderia_tropica_b-proteobacteria_GCF_050500075.1	Paraburkholderia tropica		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	supervised	NCBI_RefSeq
GCF_050368845.1	Lactococcus_lactis_firmicutes_GCF_050368845.1	Lactococcus lactis		Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	supervised	NCBI_RefSeq
GCA_050516475.1	Paenibacillus_ottowii_firmicutes_GCA_050516475.1	Paenibacillus ottowii		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	supervised	NCBI_GenBank
GCA_050517405.1	Myroides_odoratimimus_CFB_group_bacteria_GCA_050517405.1	Myroides odoratimimus		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	supervised	NCBI_GenBank
GCF_050507325.1	Janibacter_sp._G349_high_G+C_Gram-positive_bacteria_GCF_050507325.1	Janibacter sp. G349		Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Janibacter	supervised	NCBI_RefSeq
